experiment,split,group,n_patches,fp_px,fn_px,tp_px,fp_per_patch,precision,recall,iou,dice,f1
E0,val,50m,2353,2236072,2614718,52805925,950.3,0.9593751658392755,0.9528205040854526,0.9158677354407012,0.9560866008634222,0.9560866008634222
E0,val,70m,2922,2303271,4891780,36215721,788.3,0.940204276373585,0.8810003069756032,0.8342565527284316,0.9096399862794398,0.9096399862794398
E0,val,90m,3854,2523553,2822658,53430653,654.8,0.9548996727788418,0.9498223669003218,0.9090422551294998,0.9523542527012687,0.9523542527012687
E1,val,50m,2353,2181066,2613237,52807406,926.9,0.9603359409586778,0.9528472269800246,0.9167680424204065,0.9565769275480552,0.9565769275480552
E1,val,70m,2922,2277820,4877225,36230276,779.5,0.9408482829169198,0.8813543786084178,0.8350814322659943,0.9101301093050889,0.9101301093050889
E1,val,90m,3854,2516065,2808170,53445141,652.8,0.9550391212083583,0.950079916184843,0.9094046021519764,0.9525530640567647,0.9525530640567647
E2,val,50m,2353,2232457,2671416,52749227,948.8,0.9593963509738972,0.9517974556881252,0.9149417290657382,0.9555817967496274,0.9555817967496274
E2,val,70m,2922,2298406,4975510,36131991,786.6,0.9401930196037244,0.8789634524365739,0.8324210573459487,0.9085477969256858,0.9085477969256858
E2,val,90m,3854,2524489,2945659,53307652,655.0,0.9547843060505222,0.9476358111614072,0.9069351353742384,0.9511966280869341,0.9511966280869341
E5,val,50m,2353,2131666,2656417,52764226,905.9,0.9611689340980178,0.9520680949154615,0.9168046758992747,0.95659686918194,0.95659686918194
E5,val,70m,2922,2209158,4915867,36191634,756.0,0.942471030284998,0.8804143555211472,0.8355130528418621,0.9103863920207658,0.9103863920207658
E5,val,90m,3854,2448923,2767847,53485464,635.4,0.9562179344166212,0.9507967273250797,0.9111316615309719,0.9534996252441146,0.9534996252441146
E5_OOF,val,50m,2353,2178737,2691891,52728752,925.9,0.9603198572784836,0.9514280085129996,0.9154395759121003,0.9558532541818066,0.9558532541818066
E5_OOF,val,70m,2922,2282332,4924069,36183432,781.1,0.9406658866830231,0.8802148298919926,0.833914986490036,0.9094369069812569,0.9094369069812569
E5_OOF,val,90m,3854,2555587,2730939,53522372,663.1,0.9544279598335579,0.9514528309275859,0.9101066984795381,0.952938073254223,0.952938073254223
E6,val,50m,2353,2101145,2619785,52800858,893.0,0.9617291740703869,0.9527290760592566,0.9179279684421477,0.9572079697943421,0.9572079697943421
E6,val,70m,2922,2148306,4906915,36200586,735.2,0.9439799720941067,0.8806321259956891,0.8368954022751193,0.9112063770626978,0.9112063770626978
E6,val,90m,3854,2418364,2758428,53494883,627.5,0.9567479241547161,0.9509641663581351,0.9117667596842924,0.9538472777242563,0.9538472777242563
E8,val,50m,2353,2212543,2579654,52840989,940.3,0.9598110617135319,0.9534531925225029,0.9168500419185556,0.9566215633653739,0.9566215633653739
E8,val,70m,2922,2319008,4862400,36245101,793.6,0.9398661589718023,0.8817150183855719,0.8346307781728418,0.9098623964044394,0.9098623964044394
E8,val,90m,3854,2469432,2740907,53512404,640.7,0.9558886921822268,0.951275632468992,0.9112722135612757,0.9535765832783192,0.9535765832783192
E13,val,50m,2353,2076816,2556301,52864342,882.6,0.9621992678057478,0.9538745698060542,0.9194204912603166,0.9580188347959263,0.9580188347959263
E13,val,70m,2922,2157681,4897367,36210134,738.4,0.9437632557392155,0.8808643950406987,0.8369347435080688,0.9112296955195486,0.9112296955195486
E13,val,90m,3854,2437646,2702847,53550464,632.5,0.9564613629572405,0.9519522148660708,0.9124142242219685,0.9542014618649554,0.9542014618649554
E13b,val,50m,2353,2153895,2549888,52870755,915.4,0.9608558164386308,0.9539902848113817,0.9183009857586684,0.9574107427104196,0.9574107427104196
E13b,val,70m,2922,2254187,4822875,36284626,771.5,0.9415086551835394,0.8826765217374783,0.8367899792092945,0.9111438854533797,0.9111438854533797
E13b,val,90m,3854,2478630,2671453,53581858,643.1,0.9557865068887718,0.9525102975716382,0.9123120586121939,0.9541455898931875,0.9541455898931875
E17,val,50m,2353,2166509,2616891,52803752,920.7,0.9605876166387478,0.9527812948687713,0.9169363332987871,0.9566685313130501,0.9566685313130501
E17,val,70m,2922,2252112,4906269,36201232,770.7,0.9414326098661253,0.8806478408891826,0.8349067137661011,0.9100263326765811,0.9100263326765811
E17,val,90m,3854,2409994,2760098,53493213,625.3,0.9568898793230218,0.9509344792166973,0.9118683817763066,0.9539028841819064,0.9539028841819064
E18,val,50m,2353,2169804,4332230,51088413,922.1,0.9592587938120405,0.9218300300124614,0.8870987405254888,0.9401720444988096,0.9401720444988096
E18,val,70m,2922,1932296,10664947,30442554,661.3,0.9403149049339196,0.7405595878961343,0.7073117468467598,0.8285677740495798,0.8285677740495798
E18,val,90m,3854,2596732,5115544,51137767,673.8,0.9516747704300715,0.9090623483478139,0.8689503761280161,0.92988062949885,0.92988062949885
E14,val,50m,2353,2097249,2664037,52756606,891.3,0.9617666069230669,0.9519306010217151,0.9172207840996661,0.9568233264593949,0.9568233264593949
E14,val,70m,2922,2296583,4838855,36268646,786.0,0.9404493877113995,0.882287784898428,0.8356044560230765,0.9104406488895247,0.9104406488895247
