experiment,split,group,n_patches,fp_px,fn_px,tp_px,fp_per_patch,precision,recall,iou,dice,f1
E5_OOF,val,tiny,230,15736,19987,99738,68.4,0.8637268995610581,0.8330590937558295,0.7362857206127695,0.8481158508323385,0.8481158508323385
E6,val,empty,364,24858,0,0,68.3,0.0,0.0,0.0,0.0,0.0
E6,val,medium,5307,5724682,9185825,127420535,1078.7,0.9570042234412364,0.9327569741262407,0.8952406531247057,0.9447250423303359,0.9447250423303359
E6,val,small,3228,903935,1079223,14976147,280.0,0.9430774349905691,0.9327811816233389,0.8830637222456882,0.9379010511578137,0.9379010511578137
E6,val,tiny,230,14340,20080,99645,62.3,0.8741939728904029,0.8322823136347193,0.7432588669669613,0.8527234606987922,0.8527234606987922
E8,val,empty,364,19421,0,0,53.4,0.0,0.0,0.0,0.0,0.0
E8,val,medium,5307,6016271,9131258,127475102,1133.6,0.9549313872140629,0.9331564211212414,0.8937929493111084,0.9439183408473847,0.9439183408473847
E8,val,small,3228,949766,1029035,15026335,294.2,0.9405508265126707,0.9359071139438023,0.8836350970671397,0.938223224278395,0.938223224278395
E8,val,tiny,230,15525,22668,97057,67.5,0.8621005134027979,0.8106661098343615,0.7176118299440165,0.8355925564012985,0.8355925564012985
E13,val,empty,364,25478,0,0,70.0,0.0,0.0,0.0,0.0,0.0
E13,val,medium,5307,5711779,9085906,127520454,1076.3,0.9571291505712428,0.9334884115205172,0.896023900368736,0.9451609762877762,0.9451609762877762
E13,val,small,3228,916481,1050533,15004837,283.9,0.9424368635812629,0.9345681226904087,0.8841013864663265,0.9384859995506697,0.9384859995506697
E13,val,tiny,230,18405,20076,99649,80.0,0.8440967692743625,0.8323157235324015,0.7214146094253808,0.838164850554154,0.838164850554154
E13b,val,empty,364,22843,0,0,62.8,0.0,0.0,0.0,0.0,0.0
E13b,val,medium,5307,5898406,9003253,127603107,1111.4,0.9558176842535103,0.9340934565564877,0.8954304517787139,0.9448307121355174,0.9448307121355174
E13b,val,small,3228,949211,1018782,15036588,294.1,0.9406216104681352,0.9365457164799008,0.8842668925508903,0.9385792384790925,0.9385792384790925
E13b,val,tiny,230,16252,22181,97544,70.7,0.8571830292797136,0.8147337648771645,0.7173566117794058,0.8354195125916575,0.8354195125916575
E17,val,empty,364,26064,0,0,71.6,0.0,0.0,0.0,0.0,0.0
E17,val,medium,5307,5843179,9213483,127392877,1101.0,0.9561441611570962,0.9325545091751213,0.8943017849991071,0.9442020190035649,0.9442020190035649
E17,val,small,3228,939813,1049844,15005526,291.1,0.9410603311726333,0.9346110366811793,0.8829281802967295,0.9378245963237848,0.9378245963237848
E17,val,tiny,230,19559,19931,99794,85.0,0.8361247727322848,0.8335268323233798,0.7164785617869127,0.834823781359709,0.834823781359709
E18,val,empty,364,43019,0,0,118.2,0.0,0.0,0.0,0.0,0.0
E18,val,medium,5307,5713727,17917136,118689224,1076.6,0.9540708081756026,0.8688411286268072,0.8339597487739023,0.9094635248472033,0.9094635248472033
E18,val,small,3228,927611,2140405,13914965,287.4,0.9375033686874775,0.8666860371327421,0.819347616298924,0.9007048559150148,0.9007048559150148
E18,val,tiny,230,14475,55180,64545,62.9,0.8168185269541676,0.5391104614737614,0.4809612518625328,0.6495257742329872,0.6495257742329872
E14,val,empty,364,22606,0,0,62.1,0.0,0.0,0.0,0.0,0.0
E14,val,medium,5307,5923084,9177949,127428411,1116.1,0.9555829201614867,0.9328146288357285,0.8940497305244517,0.9440615165652427,0.9440615165652427
E14,val,small,3228,952240,1042432,15012938,295.0,0.9403551905277789,0.9350726890753627,0.8827188535014567,0.9377065002135474,0.9377065002135474
E14,val,tiny,230,15498,23411,96314,67.4,0.8613923371365673,0.8044602213399002,0.7122604882300257,0.8319534242903588,0.8319534242903588
E9,val,empty,364,44255,0,0,121.6,0.0,0.0,0.0,0.0,0.0
E9,val,medium,5307,5769499,9257493,127348867,1087.1,0.9566588805634821,0.9322323426229929,0.894455477877046,0.9442876735001295,0.9442876735001295
E9,val,small,3228,894869,1072573,14982797,277.2,0.9436397641819588,0.9331953732614015,0.8839283623080424,0.9383885077510296,0.9383885077510296
E9,val,tiny,230,13497,21452,98273,58.7,0.8792430884844956,0.8208227187297383,0.7376634489793445,0.84902913669805,0.84902913669805
E10,val,empty,364,30196,0,0,83.0,0.0,0.0,0.0,0.0,0.0
E10,val,medium,5307,5704200,9372016,127234344,1074.8,0.9570914512197448,0.9313939995180306,0.8940611575135389,0.9440678871079673,0.9440678871079673
E10,val,small,3228,863048,1084195,14971175,267.4,0.9454947678834575,0.9324715033038732,0.8849039549678883,0.9389379789199538,0.9389379789199538
E10,val,tiny,230,16088,19974,99751,69.9,0.8611175856137733,0.8331676759232965,0.7344731358553788,0.8469120918303107,0.8469120918303107
E11,val,empty,364,21918,0,0,60.2,0.0,0.0,0.0,0.0,0.0
E11,val,medium,5307,5810823,9057862,127548498,1094.9,0.9564273201420986,0.9336937021087446,0.8955976751765966,0.9449237957027579,0.9449237957027579
E11,val,small,3228,883039,1046878,15008492,273.6,0.9444333588752339,0.9347957723802008,0.886062675662154,0.9395898525493883,0.9395898525493883
E11,val,tiny,230,15590,19987,99738,67.8,0.8648203385120137,0.8330590937558295,0.7370801463246964,0.8486426465516932,0.8486426465516932
E7,val,empty,364,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
E7,val,medium,5307,69,161,136606199,0.0,0.9999994948987254,0.9999988214311538,0.9999983163310704,0.9999991581648264,0.9999991581648264
E7,val,small,3228,3,28,16055342,0.0,0.9999998131463322,0.9999982560352019,0.9999980691821921,0.999999034590164,0.999999034590164
E7,val,tiny,230,1,3,119722,0.0,0.9999916473852142,0.9999749425759031,0.9999665903805356,0.9999832949112124,0.9999832949112124
E21,val,empty,364,27435,0,0,75.4,0.0,0.0,0.0,0.0,0.0
E21,val,medium,5307,5727967,8673143,127933217,1079.3,0.9571456212747592,0.9365099619080687,0.8988219475685575,0.9467153555071337,0.9467153555071337
E21,val,small,3228,911597,997649,15057721,282.4,0.9429157212599752,0.9378619739065438,0.8874727580951806,0.9403820577424488,0.9403820577424488
E21,val,tiny,230,20101,21104,98621,87.4,0.8306884991822655,0.8237293798280863,0.7053123167360109,0.8271943031361991,0.8271943031361991
E22,val,empty,364,24032,0,0,66.0,0.0,0.0,0.0,0.0,0.0
E22,val,medium,5307,5789408,8839249,127767111,1090.9,0.9566519998922696,0.9352940155934168,0.8972676140206634,0.9458524536970154,0.9458524536970154
E22,val,small,3228,940572,1016114,15039256,291.4,0.9411400423083344,0.9367118914107807,0.8848733421189547,0.9389207458620954,0.9389207458620954
E22,val,tiny,230,17430,22242,97483,75.8,0.8483200334158465,0.8142242639375116,0.7107506106224996,0.83092252746749,0.83092252746749
E23,val,empty,364,21451,0,0,58.9,0.0,0.0,0.0,0.0,0.0
E23,val,medium,5307,5657733,9057414,127548946,1066.1,0.9575266567526985,0.9336969816046626,0.8965645744495762,0.9454616906042109,0.9454616906042109
E23,val,small,3228,896530,1024573,15030797,277.7,0.9437112077877163,0.9361850271902737,0.8866732932591574,0.9399330519249176,0.9399330519249176
E23,val,tiny,230,15126,20801,98924,65.8,0.8673739587892438,0.8262601795775099,0.7335800253607807,0.8463180408508838,0.8463180408508838
E24,val,empty,364,25928,0,0,71.2,0.0,0.0,0.0,0.0,0.0
E24,val,medium,5307,5708480,9092051,127514309,1075.7,0.95715087453994,0.9334434282561948,0.8960014921845109,0.9451485095111051,0.9451485095111051
E24,val,small,3228,879209,1031919,15023451,272.4,0.9447130857353364,0.9357274855702425,0.8871464120838145,0.940198817010933,0.940198817010933
E24,val,tiny,230,15089,20931,98794,65.6,0.8675043685178055,0.8251743579028397,0.7328170664762318,0.8458100749970695,0.8458100749970695
E25,val,empty,364,28629,0,0,78.7,0.0,0.0,0.0,0.0,0.0
E25,val,medium,5307,5835285,9190924,127415436,1099.5,0.9562082294474031,0.9327196478992626,0.894509720103274,0.9443178998886447,0.9443178998886447
E25,val,small,3228,947967,1031446,15023924,293.7,0.9406477917987235,0.9357569461183334,0.8835867924043328,0.9381959949681588,0.9381959949681588
E25,val,tiny,230,17501,21193,98532,76.1,0.8491722182475251,0.8229860096046582,0.7180271960118942,0.8358740742622367,0.8358740742622367
E26,val,empty,364,23910,0,0,65.7,0.0,0.0,0.0,0.0,0.0
E26,val,medium,5307,5838782,8998338,127608022,1100.2,0.956246370651184,0.9341294358476422,0.8958397612464728,0.9450585218842312,0.9450585218842312
E26,val,small,3228,926404,1013450,15041920,287.0,0.9419848945950686,0.9368778172038331,0.8857684715389518,0.9394244149347638,0.9394244149347638
E26,val,tiny,230,14856,24056,95669,64.6,0.8655869712726844,0.7990728753386519,0.7108655753778684,0.8310010857759692,0.8310010857759692
E28,val,empty,364,23315,0,0,64.1,0.0,0.0,0.0,0.0,0.0
E28,val,medium,5307,5648633,8988149,127618211,1064.4,0.9576141159311906,0.9342040224188677,0.8971088346965784,0.945764226373508,0.945764226373508
E28,val,small,3228,911064,1002905,15052465,282.2,0.9429284088749991,0.9375346068013323,0.8871908498863056,0.9402237722165245,0.9402237722165245
E28,val,tiny,230,14841,21310,98415,64.5,0.8689605848689085,0.822008770097455,0.7313511585387606,0.844832840445854,0.844832840445854
E29,val,empty,364,27485,0,0,75.5,0.0,0.0,0.0,0.0,0.0
E29,val,medium,5307,5707898,9060595,127545765,1075.5,0.9571651700111231,0.9336736957195837,0.8962261883837382,0.945273505738936,0.945273505738936
